Airport;Planes Arrived;
"ABE";137;
"ABI";244;
"ABQ";1909;
"ABR";62;
"ABY";89;
"ACT";151;
"ACV";269;
"ADK";9;
"ADQ";53;
"AEX";303;
"AGS";248;
"ALB";595;
"ALO";58;
"AMA";642;
"ANC";1285;
"APN";56;
"ART";58;
"ASE";719;
"ATL";30784;
"ATW";183;
"AUS";3337;
"AVL";232;
"AVP";66;
"AZO";13;
"BDL";1806;
"BET";83;
"BFL";301;
"BGR";61;
"BHM";1099;
"BIL";276;
"BIS";180;
"BJI";62;
"BKG";97;
"BLI";75;
"BMI";226;
"BNA";4663;
"BOI";830;
"BOS";8283;
"BPT";89;
"BQK";86;
"BQN";112;
"BRD";79;
"BRO";206;
"BRW";78;
"BTM";62;
"BTR";710;
"BTV";293;
"BUF";1348;
"BUR";1730;
"BWI";7176;
"BZN";276;
"CAE";574;
"CAK";533;
"CDC";54;
"CDV";60;
"CEC";85;
"CHA";277;
"CHO";103;
"CHS";944;
"CIC";92;
"CID";439;
"CLD";207;
"CLE";3345;
"CLL";226;
"CLT";9777;
"CMH";2157;
"CMI";182;
"CMX";62;
"COD";62;
"COS";755;
"COU";89;
"CPR";179;
"CRP";517;
"CRW";256;
"CSG";110;
"CVG";1513;
"CWA";119;
"DAB";119;
"DAL";3861;
"DAY";769;
"DBQ";45;
"DCA";5739;
"DEN";17955;
"DFW";23482;
"DHN";116;
"DIK";117;
"DLH";124;
"DRO";223;
"DSM";886;
"DTW";7550;
"EAU";62;
"ECP";278;
"EGE";302;
"EKO";87;
"ELM";104;
"ELP";1444;
"EUG";440;
"EVV";237;
"EWN";62;
"EWR";9255;
"EYW";424;
"FAI";326;
"FAR";432;
"FAT";933;
"FAY";191;
"FCA";155;
"FLG";129;
"FLL";5876;
"FNT";315;
"FOE";50;
"FSD";593;
"FSM";207;
"FWA";304;
"GCC";124;
"GCK";62;
"GEG";709;
"GFK";3;
"GGG";62;
"GJT";266;
"GNV";267;
"GPT";356;
"GRB";350;
"GRI";58;
"GRK";421;
"GRR";809;
"GSO";590;
"GSP";609;
"GTF";152;
"GTR";85;
"GUC";74;
"GUM";31;
"HDN";173;
"HIB";55;
"HLN";118;
"HNL";3772;
"HOB";50;
"HOU";5067;
"HPN";615;
"HRL";368;
"HSV";535;
"IAD";4688;
"IAH";14569;
"ICT";801;
"IDA";223;
"ILG";56;
"ILM";189;
"IMT";59;
"IND";2253;
"INL";54;
"ISN";226;
"ISP";398;
"ITO";518;
"JAC";337;
"JAN";732;
"JAX";1832;
"JFK";7882;
"JLN";62;
"JNU";303;
"KOA";905;
"KTN";186;
"LAN";116;
"LAR";62;
"LAS";11052;
"LAW";125;
"LAX";18474;
"LBB";521;
"LCH";175;
"LEX";411;
"LFT";503;
"LGA";8535;
"LGB";972;
"LIH";869;
"LIT";1151;
"LMT";62;
"LNK";177;
"LRD";202;
"LSE";53;
"LWS";54;
"MAF";825;
"MBS";117;
"MCI";3615;
"MCO";9189;
"MDT";339;
"MDW";6577;
"MEM";1317;
"MFE";348;
"MFR";276;
"MGM";295;
"MHK";146;
"MHT";552;
"MIA";7426;
"MKE";2652;
"MKG";62;
"MLB";120;
"MLI";340;
"MLU";276;
"MMH";67;
"MOB";480;
"MOD";93;
"MOT";130;
"MQT";27;
"MRY";414;
"MSN";785;
"MSO";228;
"MSP";8085;
"MSY";3399;
"MTJ";165;
"MYR";116;
"OAJ";139;
"OAK";3410;
"OGG";1747;
"OKC";1697;
"OMA";1685;
"OME";60;
"ONT";1683;
"ORD";21529;
"ORF";990;
"ORH";62;
"OTH";31;
"OTZ";60;
"PAH";62;
"PBI";2259;
"PDX";4372;
"PHF";180;
"PHL";6024;
"PHX";13335;
"PIA";293;
"PIH";84;
"PIT";2321;
"PNS";678;
"PPG";10;
"PSC";199;
"PSE";74;
"PSG";62;
"PSP";1154;
"PVD";902;
"PWM";337;
"RAP";270;
"RDD";93;
"RDM";278;
"RDU";3251;
"RHI";90;
"RIC";1256;
"RKS";155;
"RNO";1235;
"ROA";159;
"ROC";675;
"ROW";89;
"RST";39;
"RSW";2798;
"SAF";145;
"SAN";6086;
"SAT";2728;
"SAV";525;
"SBA";789;
"SBN";308;
"SBP";368;
"SCC";78;
"SCE";50;
"SDF";1151;
"SEA";7776;
"SFO";13539;
"SGF";559;
"SGU";150;
"SHV";596;
"SIT";93;
"SJC";3328;
"SJT";151;
"SJU";2302;
"SLC";8676;
"SMF";3381;
"SMX";102;
"SNA";3221;
"SPI";152;
"SPS";124;
"SRQ";343;
"STL";4142;
"STT";417;
"STX";90;
"SUN";112;
"SUX";58;
"SWF";62;
"SYR";550;
"TLH";414;
"TOL";70;
"TPA";5432;
"TRI";171;
"TTN";136;
"TUL";1612;
"TUS";1451;
"TVC";130;
"TWF";116;
"TXK";89;
"TYR";232;
"TYS";685;
"VLD";87;
"VPS";401;
"WRG";62;
"XNA";831;
"YAK";60;
"YUM";264;
